feature_index,feature
0,prev2_delta
1,prev2_theta
2,prev2_alpha
3,prev2_sigma
4,prev2_beta
5,prev2_rms
6,prev2_std
7,prev2_peak_to_peak
8,prev2_zero_crossing_rate
9,prev2_spectral_entropy
10,prev2_dominant_frequency
11,prev2_sef90
12,prev2_delta_theta_ratio
13,prev2_alpha_theta_ratio
14,prev2_sigma_theta_ratio
15,prev1_delta
16,prev1_theta
17,prev1_alpha
18,prev1_sigma
19,prev1_beta
20,prev1_rms
21,prev1_std
22,prev1_peak_to_peak
23,prev1_zero_crossing_rate
24,prev1_spectral_entropy
25,prev1_dominant_frequency
26,prev1_sef90
27,prev1_delta_theta_ratio
28,prev1_alpha_theta_ratio
29,prev1_sigma_theta_ratio
30,current_delta
31,current_theta
32,current_alpha
33,current_sigma
34,current_beta
35,current_rms
36,current_std
37,current_peak_to_peak
38,current_zero_crossing_rate
39,current_spectral_entropy
40,current_dominant_frequency
41,current_sef90
42,current_delta_theta_ratio
43,current_alpha_theta_ratio
44,current_sigma_theta_ratio
