feature,training_mean,training_std
prev2_delta,0.7698746016540609,0.13680196255471627
prev2_theta,0.114888420369967,0.0660287971892491
prev2_alpha,0.04194841999752,0.05065696593223322
prev2_sigma,0.026875020752702355,0.03211039856669591
prev2_beta,0.02382215053023665,0.03003535693333427
prev2_rms,1.7474285457827422e-05,9.424969971349653e-06
prev2_std,1.7449057601725454e-05,9.433582590222153e-06
prev2_peak_to_peak,0.00013022745144960945,5.778878236910087e-05
prev2_zero_crossing_rate,0.10489960574486058,0.04357840829290762
prev2_spectral_entropy,4.317176682108742,0.6867172644657591
prev2_dominant_frequency,0.7645381582652774,0.8078648427569235
prev2_sef90,6.846170092931569,3.8828643810350543
prev2_delta_theta_ratio,10.39683621033739,9.110469824776136
prev2_alpha_theta_ratio,0.35600052239027047,0.33783305918186046
prev2_sigma_theta_ratio,0.24930392161259704,0.2870901139937063
prev1_delta,0.7699052424160605,0.13679443646730563
prev1_theta,0.11487530106256838,0.0660318054184473
prev1_alpha,0.041944189156358794,0.05065850339028061
prev1_sigma,0.026872325092442053,0.032111154627648734
prev1_beta,0.02381327059770172,0.03002758222210561
prev1_rms,1.7479962022778625e-05,9.428119198939195e-06
prev1_std,1.745472963104384e-05,9.436733409968913e-06
prev1_peak_to_peak,0.00013027780906783523,5.785617920158843e-05
prev1_zero_crossing_rate,0.1048727119121374,0.04350755231332187
prev1_spectral_entropy,4.316968108638854,0.6864287829940783
prev1_dominant_frequency,0.7642565474514221,0.8077718030574913
prev1_sef90,6.844410025344973,3.8811164361036306
prev1_delta_theta_ratio,10.398092663243286,9.109288654169886
prev1_alpha_theta_ratio,0.3560208893721162,0.33787300095815104
prev1_sigma_theta_ratio,0.24931825916230918,0.28710607031069807
current_delta,0.76993599525595,0.13679436591206262
current_theta,0.1148552867841745,0.06603007797108722
current_alpha,0.041939991991561114,0.05066013159154427
current_sigma,0.02687179997364828,0.03211155924536878
current_beta,0.023812321664723926,0.030040165110364614
current_rms,1.748712648884015e-05,9.44167120180208e-06
current_std,1.7461909604490092e-05,9.45030365466608e-06
current_peak_to_peak,0.0001302960605431974,5.789840952034341e-05
current_zero_crossing_rate,0.10484699145780528,0.0434524319544063
current_spectral_entropy,4.316612919945228,0.6866547535305969
current_dominant_frequency,0.7643621515066179,0.8077862761090985
current_sef90,6.843952407772458,3.8817930813650308
current_delta_theta_ratio,10.40076112421853,9.115434663099226
current_alpha_theta_ratio,0.35600611141851873,0.3378563253665884
current_sigma_theta_ratio,0.24935964258135432,0.2871149440052621
