true_stage,predicted_stage,error_count,percent_of_all_errors
N3,Wake,226,11.339688911189162
N1,REM,220,11.038635223281485
N2,REM,198,9.934771700953336
REM,N1,190,9.533366783743102
N2,N3,151,7.5765178123432015
Wake,N3,149,7.4761665830406425
N1,Wake,135,6.77370797792273
Wake,N1,118,5.920722528850978
N2,N1,106,5.3186151530356245
Wake,REM,98,4.917210235825388
N1,N2,85,4.264927245358756
N3,N2,85,4.264927245358756
REM,Wake,85,4.264927245358756
N2,Wake,72,3.612644254892122
REM,N2,47,2.3582538886101356
Wake,N2,25,1.2543903662819869
N1,N3,3,0.15052684395383845
