stage,precision,recall,f1,support,prediction_type
Wake,0.6415722851432378,0.7133333333333334,0.6755524377411435,1350,raw
N1,0.36036036036036034,0.3513909224011713,0.3558191252779837,683,raw
N2,0.938275251033668,0.8558728448275862,0.8951817413355875,3712,raw
N3,0.723062381852552,0.723062381852552,0.723062381852552,1058,raw
REM,0.6512549537648613,0.745839636913767,0.6953455571227081,1322,raw
Wake,0.6495263870094723,0.7111111111111111,0.6789250353606789,1350,smoothed
N1,0.3669724770642202,0.3513909224011713,0.35901271503365745,683,smoothed
N2,0.9293843011380216,0.8580280172413793,0.8922818321893823,3712,smoothed
N3,0.7114285714285714,0.7060491493383743,0.7087286527514232,1058,smoothed
REM,0.6596306068601583,0.75642965204236,0.704721634954193,1322,smoothed
