subject,true_stage,predicted_stage,error_count,percent_of_subject_errors
SC400,N3,Wake,224,37.2093023255814
SC400,N1,REM,67,11.129568106312291
SC400,N2,Wake,52,8.637873754152823
SC400,N2,N3,44,7.308970099667775
SC400,Wake,REM,40,6.64451827242525
SC400,Wake,N1,39,6.4784053156146175
SC400,N2,REM,34,5.647840531561462
SC400,REM,Wake,26,4.318936877076411
SC400,REM,N2,18,2.990033222591362
SC400,N1,Wake,18,2.990033222591362
SC400,N3,N2,16,2.6578073089700998
SC400,N1,N2,11,1.8272425249169437
SC400,REM,N1,10,1.6611295681063125
SC400,N1,N3,1,0.16611295681063123
SC400,N2,N1,1,0.16611295681063123
SC400,Wake,N2,1,0.16611295681063123
SC401,Wake,N3,148,27.255985267034994
SC401,N1,REM,100,18.41620626151013
SC401,N2,REM,92,16.94290976058932
SC401,N2,N3,47,8.655616942909761
SC401,N1,N2,30,5.524861878453039
SC401,REM,Wake,22,4.051565377532229
SC401,N1,Wake,20,3.683241252302026
SC401,Wake,N1,18,3.314917127071823
SC401,Wake,REM,18,3.314917127071823
SC401,REM,N2,14,2.578268876611418
SC401,N3,N2,13,2.394106813996317
SC401,N2,Wake,7,1.289134438305709
SC401,Wake,N2,7,1.289134438305709
SC401,N2,N1,4,0.7366482504604052
SC401,N1,N3,2,0.3683241252302026
SC401,REM,N1,1,0.1841620626151013
SC402,N2,REM,29,18.354430379746837
SC402,N3,N2,20,12.658227848101266
SC402,Wake,N1,18,11.39240506329114
SC402,Wake,REM,17,10.759493670886076
SC402,N2,N3,14,8.860759493670885
SC402,Wake,N2,11,6.962025316455696
SC402,N1,N2,10,6.329113924050633
SC402,N2,N1,10,6.329113924050633
SC402,REM,N1,9,5.69620253164557
SC402,N1,Wake,6,3.79746835443038
SC402,REM,N2,6,3.79746835443038
SC402,N1,REM,5,3.1645569620253164
SC402,N3,Wake,2,1.2658227848101267
SC402,N2,Wake,1,0.6329113924050633
SC403,REM,N1,136,51.908396946564885
SC403,Wake,N1,35,13.358778625954198
SC403,N1,N2,23,8.778625954198473
SC403,N3,N2,15,5.7251908396946565
SC403,N2,N3,10,3.816793893129771
SC403,N2,N1,10,3.816793893129771
SC403,Wake,REM,9,3.435114503816794
SC403,N2,Wake,6,2.2900763358778624
SC403,N1,Wake,6,2.2900763358778624
SC403,REM,N2,5,1.9083969465648856
SC403,N1,REM,4,1.5267175572519083
SC403,Wake,N2,2,0.7633587786259541
SC403,REM,Wake,1,0.38167938931297707
SC404,N2,N1,80,24.242424242424242
SC404,N1,Wake,59,17.87878787878788
SC404,N2,REM,39,11.818181818181818
SC404,REM,Wake,36,10.909090909090908
SC404,N1,REM,34,10.303030303030303
SC404,REM,N1,34,10.303030303030303
SC404,N3,N2,14,4.242424242424243
SC404,Wake,REM,14,4.242424242424243
SC404,Wake,N1,8,2.4242424242424243
SC404,N2,N3,4,1.2121212121212122
SC404,N1,N2,4,1.2121212121212122
SC404,N2,Wake,3,0.9090909090909091
SC404,Wake,N3,1,0.30303030303030304
SC405,N2,N3,32,32.6530612244898
SC405,N1,Wake,26,26.53061224489796
SC405,N1,REM,10,10.204081632653061
SC405,N1,N2,7,7.142857142857142
SC405,N3,N2,7,7.142857142857142
SC405,N2,REM,4,4.081632653061225
SC405,Wake,N2,4,4.081632653061225
SC405,REM,N2,4,4.081632653061225
SC405,N2,Wake,3,3.061224489795918
SC405,N2,N1,1,1.0204081632653061
