stage,precision,recall,f1,support,subject
Wake,0.4728171334431631,0.782016348773842,0.5893223819301848,367,SC400
N1,0.2857142857142857,0.17094017094017094,0.21390374331550802,117,SC400
N2,0.9144981412639405,0.7897271268057785,0.8475452196382429,623,SC400
N3,0.860248447204969,0.5357833655705996,0.6603098927294399,517,SC400
REM,0.6697892271662763,0.8411764705882353,0.7457627118644068,340,SC400
Wake,0.7167630057803468,0.39365079365079364,0.5081967213114754,315,SC401
N1,0.6805555555555556,0.24378109452736318,0.358974358974359,201,SC401
N2,0.9436619718309859,0.8772504091653028,0.909245122985581,1222,SC401
N3,0.4883116883116883,0.9353233830845771,0.6416382252559727,201,SC401
REM,0.5953757225433526,0.8930635838150289,0.7144508670520231,346,SC401
Wake,0.898876404494382,0.6349206349206349,0.7441860465116279,126,SC402
N1,0.6636363636363637,0.776595744680851,0.7156862745098039,94,SC402
N2,0.912639405204461,0.9009174311926605,0.9067405355493998,545,SC402
N3,0.8390804597701149,0.7684210526315789,0.8021978021978022,95,SC402
REM,0.7437185929648241,0.9079754601226994,0.8176795580110497,163,SC402
Wake,0.8761904761904762,0.6666666666666666,0.757201646090535,138,SC403
N1,0.1339712918660287,0.45901639344262296,0.2074074074074074,61,SC403
N2,0.9107142857142857,0.9463917525773196,0.9282103134479271,485,SC403
N3,0.8076923076923077,0.7368421052631579,0.7706422018348624,57,SC403
REM,0.8375,0.32057416267942584,0.46366782006920415,209,SC403
Wake,0.6410256410256411,0.8838383838383839,0.7430997876857749,198,SC404
N1,0.3612565445026178,0.41566265060240964,0.3865546218487395,166,SC404
N2,0.96484375,0.7967741935483871,0.872791519434629,620,SC404
N3,0.8863636363636364,0.7358490566037735,0.8041237113402062,53,SC404
REM,0.5915492957746479,0.6428571428571429,0.6161369193154034,196,SC404
Wake,0.8744588744588745,0.9805825242718447,0.9244851258581236,206,SC405
N1,0.5,0.022727272727272728,0.043478260869565216,44,SC405
N2,0.8894472361809045,0.815668202764977,0.8509615384615384,217,SC405
N3,0.8,0.9481481481481482,0.8677966101694915,135,SC405
REM,0.8205128205128205,0.9411764705882353,0.8767123287671232,68,SC405
