feature,mean_symmetric_auc,min_symmetric_auc,mean_abs_cohens_d,mean_overlap_coefficient,mean_discriminability_score,best_separated_pair,worst_separated_pair,overall_rank
current_beta,0.7561612627408222,0.6661221406848401,1.0142688016416062,0.5829368651800307,0.49171420995105714,N2,REM,1
prev1_beta,0.7346049823315092,0.645375147022015,0.9897851535709515,0.6022154324428056,0.46262966887859086,N2,REM,2
current_rms,0.7333849627248398,0.5350925768003136,0.764629709823577,0.5881593920483149,0.43044754078871333,Wake,REM,3
current_std,0.7331225973717808,0.5343926301823183,0.7649879468307669,0.5895664413540103,0.4299575011255938,Wake,REM,4
current_peak_to_peak,0.714702909499617,0.5232759938245216,0.7710471253124624,0.6074086523730592,0.40887824782187465,Wake,REM,5
prev2_beta,0.6967544144151562,0.6037449359083691,0.8340388520056625,0.6503883046801798,0.3917825812799696,N2,REM,6
prev1_std,0.6955109824593896,0.5195652799897224,0.7056558574336402,0.6209065356803872,0.3771780539383583,Wake,REM,7
prev1_rms,0.6953306034836252,0.5188830535392712,0.7053957266206976,0.6233395943495795,0.376472043606814,Wake,REM,8
current_sigma_theta_ratio,0.711005050941005,0.632464616886286,0.6344953918124037,0.6695012398492505,0.3722791117430155,REM,Wake,9
prev1_peak_to_peak,0.6854370083840462,0.5240058432252477,0.7117483653324661,0.6213344017440647,0.3679323828351031,Wake,REM,10
prev1_sigma_theta_ratio,0.709795009791517,0.6524060517325524,0.628057211414613,0.6831223090359794,0.36737912969651304,REM,Wake,11
prev2_sigma_theta_ratio,0.7000599173122192,0.6615573992733582,0.618939843611413,0.6955832597051627,0.35378424191289853,REM,Wake,12
prev2_std,0.6799660315711988,0.5403133811630189,0.6369470115151922,0.6568185711000062,0.3441443690784765,Wake,REM,13
prev2_rms,0.6798201331131617,0.5396743476209568,0.636735185318372,0.6579114808437695,0.34374811474216355,Wake,REM,14
prev1_alpha_theta_ratio,0.6834004703375848,0.6121208177430726,0.5800689242771971,0.6679661210442188,0.33681758477032053,N2,Wake,15
prev2_peak_to_peak,0.6702792383310808,0.5421202844972899,0.6325811467475027,0.6554656353865558,0.3340732832658951,Wake,REM,16
current_sigma,0.6792437728752715,0.638775492122278,0.6089405299024454,0.683392003343709,0.3339064516918966,Wake,REM,17
current_sef90,0.6606719519658338,0.6113601779104821,0.569117774180447,0.6212757250893335,0.32178447307503416,Wake,REM,18
current_theta,0.6722075679038032,0.6299364510491446,0.5629626223744834,0.6777243782524969,0.3211070856094764,Wake,REM,19
prev1_sigma,0.668070797571766,0.6270368430352906,0.5464516653510948,0.7032318453580192,0.3093921783028264,Wake,N2,20
prev1_sef90,0.6472059884674254,0.5964979411380336,0.5731397229726852,0.6277529410232889,0.30762635870867033,Wake,REM,21
prev2_alpha_theta_ratio,0.668974263042117,0.6177040290656689,0.507536371977743,0.6920839231253875,0.30668793421370105,N2,Wake,22
current_zero_crossing_rate,0.6524823735605094,0.564858196410173,0.6242385322428763,0.708297368502573,0.3044586796964263,N2,Wake,23
prev1_theta,0.6564141384980807,0.6109527250467006,0.5287620316567062,0.694196848585118,0.2968890735295631,Wake,N2,24
prev2_sigma,0.6578515139449378,0.6104959736456808,0.5276479890172979,0.7270530741416864,0.2915880974691952,Wake,N2,25
current_alpha_theta_ratio,0.647870462912795,0.5717629195813676,0.5577626949236704,0.7176435817402634,0.2880061508032929,N2,Wake,26
prev1_zero_crossing_rate,0.6438658274009893,0.5747182907651428,0.6046309326401557,0.73576099327736,0.2874082686415406,N2,Wake,27
prev1_alpha,0.6521789336490212,0.5465542026699862,0.4658221320122425,0.6850748094710463,0.28503729155664836,N2,REM,28
current_alpha,0.6537987118280851,0.5468388328611647,0.4449405314743385,0.6866891012275834,0.2832019713037192,N2,REM,29
prev2_theta,0.6490877869355126,0.6024503647700308,0.49863284980665074,0.7060073959417862,0.28268123521815297,Wake,N2,30
prev2_sef90,0.6288904236265932,0.5754358607460635,0.5288384971612226,0.6634072482409671,0.2755347485525832,Wake,REM,31
current_delta_theta_ratio,0.65766472763507,0.590706215127264,0.38745005556814344,0.7148423835669644,0.27281375925689866,Wake,REM,32
current_delta,0.6326937495058459,0.5047423598390122,0.43583681194034257,0.6726266162861191,0.26354394803967346,N2,REM,33
prev2_alpha,0.6309528312052215,0.5266400568817378,0.43873007925161617,0.7155147922470847,0.2536593846435469,N2,REM,34
prev1_delta,0.6227989325779894,0.5088069232694595,0.42349863404983124,0.6855174326788775,0.24922024114968852,N2,REM,35
prev1_delta_theta_ratio,0.6441395144429465,0.6121564779394989,0.3334425428312476,0.7281151634652877,0.2485328631745761,Wake,N2,36
prev2_zero_crossing_rate,0.6193770527650896,0.5624743777452416,0.5025451437405265,0.7581811552034038,0.24312259328548777,N2,Wake,37
prev2_delta_theta_ratio,0.6375238853601479,0.6169475682392578,0.32619841252400744,0.73934083828581,0.23858547958158705,Wake,N2,38
prev2_delta,0.6163858573217862,0.5175053105127109,0.3946910913481228,0.7083002024663986,0.2339294805307249,Wake,REM,39
current_spectral_entropy,0.6012053584373269,0.5006512161572487,0.32215619876596435,0.7362104779174473,0.20228669266873214,Wake,REM,40
prev1_spectral_entropy,0.588771118986463,0.5271340065520319,0.2806779150618566,0.7359942861254573,0.18367394902064996,Wake,REM,41
prev2_spectral_entropy,0.5829456511174148,0.5334158059464452,0.25453880062543993,0.7525301477822935,0.1706204416547721,Wake,REM,42
current_dominant_frequency,0.5427757932250373,0.5109001681036821,0.16813941400919563,0.8967633245649785,0.08864404041342094,N2,Wake,43
prev1_dominant_frequency,0.5414984699803244,0.5095190065614663,0.12815104691268764,0.8962316571645733,0.08147479558431292,N2,Wake,44
prev2_dominant_frequency,0.5389178229429601,0.5073222710265171,0.09713893357849013,0.9039674859826868,0.07269516578319624,N2,Wake,45
