comparison_stage,test_subject,auc,accuracy,n_test
Wake,SC400,0.9004401592957452,0.8429752066115702,484
Wake,SC401,0.9208639342967702,0.8430232558139535,516
Wake,SC402,0.8912529550827423,0.7545454545454545,220
Wake,SC403,0.8296507483962937,0.7185929648241206,199
Wake,SC404,0.9098667396860167,0.7967032967032966,364
Wake,SC405,0.7682590467784642,0.88,250
N2,SC400,0.970757706712763,0.9378378378378378,740
N2,SC401,0.970497349585949,0.9360505973295854,1423
N2,SC402,0.9820808120242046,0.9577464788732394,639
N2,SC403,0.9577826601318236,0.9340659340659341,546
N2,SC404,0.9433492032646715,0.806615776081425,786
N2,SC405,0.9835043988269795,0.9540229885057471,261
REM,SC400,0.7593640020110608,0.7658643326039387,457
REM,SC401,0.877081356224657,0.7861060329067642,547
REM,SC402,0.9788539355175564,0.8832684824902723,257
REM,SC403,0.8410855753392422,0.4074074074074074,270
REM,SC404,0.801358495205311,0.7320441988950276,362
REM,SC405,0.9107620320855614,0.8571428571428571,112
