outer_test_subject,threshold,mean_macro_f1,mean_n1_f1,mean_min_class_f1,std_macro_f1,selected
SC400,0.375,0.6484476196152725,0.30560038992186433,0.30123285036417025,0.08663725327267462,True
SC400,0.35,0.6474069144636703,0.3198539381739779,0.3198539381739779,0.08961106631460457,False
SC400,0.325,0.646668677486016,0.3392221956302264,0.3268044965151821,0.08766265376244725,False
SC400,0.4,0.6439415956732549,0.27788900980812625,0.27788900980812625,0.08259599396179491,False
SC400,0.425,0.6387614997345856,0.24789757412398922,0.24789757412398922,0.07675099197841014,False
SC400,0.45,0.6370086158664132,0.2194856552938032,0.2194856552938032,0.07158986030968335,False
SC400,0.3,0.6366329184946287,0.3415283158108101,0.3211283158108101,0.09037032397912104,False
SC400,0.475,0.6338731116119201,0.19264372979651115,0.19264372979651115,0.06648815762687543,False
SC400,0.5,0.6304804129463726,0.1684354845517187,0.1684354845517187,0.061702864917778176,False
SC400,0.275,0.6258168572065254,0.33790459963638764,0.3053090358499829,0.09083466747210624,False
SC400,0.25,0.6137020999665935,0.3438532189401212,0.2839769273485012,0.09371829911808979,False
SC400,0.225,0.6068748566191624,0.34199790945438874,0.25747987788384746,0.0932259943132579,False
SC400,0.2,0.6034664176002451,0.3531974707707878,0.26156372085322577,0.09388116567112127,False
SC400,0.175,0.594722038732924,0.3525248517769387,0.2546611617683508,0.0994798430672959,False
SC400,0.15,0.5733414766264742,0.34601247679612906,0.23606066130853803,0.1140481149016267,False
SC400,0.125,0.5519686109804934,0.3337909214914509,0.22847118492888452,0.11767752911489221,False
SC400,0.1,0.52193394557812,0.3132169806919435,0.21287056425229728,0.12145535112498425,False
SC401,0.275,0.6859459032322528,0.34517076795522195,0.34517076795522195,0.04938457993058482,True
SC401,0.3,0.6841171625308953,0.32192175962645425,0.32192175962645425,0.04439066964692735,False
SC401,0.325,0.6808104719977468,0.279540170368797,0.279540170368797,0.03229976398449014,False
SC401,0.25,0.6780344819287818,0.356573306421082,0.356573306421082,0.05633010594436311,False
SC401,0.35,0.6752040563109133,0.2374741645537429,0.2374741645537429,0.026857557690281652,False
SC401,0.225,0.6712124837788476,0.3778534569534446,0.3778534569534446,0.0698359817889188,False
SC401,0.375,0.669059715673259,0.1950423313883453,0.1950423313883453,0.025127003376175464,False
SC401,0.4,0.6648996822589903,0.16566943046661986,0.16566943046661986,0.021132998974715666,False
SC401,0.425,0.661481211391278,0.14369185293197234,0.14369185293197234,0.024131677535805043,False
SC401,0.45,0.6571139033223335,0.11874880884314847,0.11874880884314847,0.02982408625820037,False
SC401,0.475,0.6567712512780653,0.1140358119384965,0.1140358119384965,0.030895821650572718,False
SC401,0.5,0.6533133275953972,0.09679940123834796,0.09679940123834796,0.03219803293557162,False
SC401,0.2,0.6517145343806237,0.3730997049236382,0.36478726319567795,0.07511791439908758,False
SC401,0.175,0.6330527478532255,0.3503491359686402,0.3369835628669556,0.07023932123234063,False
SC401,0.15,0.6043135234356652,0.3355261009475517,0.305814958685116,0.07089178431892504,False
SC401,0.125,0.5694793957158328,0.3131016883145629,0.25877375613993026,0.06772709908619999,False
SC401,0.1,0.5184078641456834,0.27785916223964646,0.1814686208343912,0.06369570480796484,False
SC402,0.325,0.6307358082143522,0.2249497970556138,0.20394857605439282,0.07527514177686397,True
SC402,0.35,0.6297183189265855,0.20535313293517626,0.19375530337884048,0.07267952313328785,False
SC402,0.3,0.6262088765465004,0.2365116401186908,0.20635637568395043,0.07534751046040879,False
SC402,0.375,0.6261268527719521,0.1779982949822147,0.17278131484141404,0.06988549330029493,False
SC402,0.275,0.6253513573890948,0.2535778051150297,0.2179192668376007,0.07650879135207361,False
SC402,0.4,0.6241850939449278,0.167841463898243,0.16341850892043705,0.07068217606587991,False
SC402,0.25,0.6199534700061304,0.27103747883041157,0.2313497911427239,0.07316849614735392,False
SC402,0.425,0.6197930096932177,0.1407240809932408,0.1407240809932408,0.06653581751666808,False
SC402,0.45,0.6195897849598925,0.12359058551943262,0.12359058551943262,0.060830191865410985,False
SC402,0.225,0.6150546568530885,0.30234225825040706,0.2571063478321696,0.07292299553285822,False
SC402,0.475,0.6149189713854479,0.09381275615933686,0.09381275615933686,0.052167118407911474,False
SC402,0.5,0.6134662503881534,0.08147840723063797,0.08147840723063797,0.05188917182766974,False
SC402,0.2,0.6094485334387546,0.3297669756667082,0.27558224533582926,0.08014238153957585,False
SC402,0.175,0.5890475950124671,0.31766508340139554,0.2440595317998458,0.07167205042947451,False
SC402,0.15,0.5612038830317723,0.3084434391242799,0.2251980514496065,0.07307630550417582,False
SC402,0.125,0.5342413204157024,0.2991610357381865,0.20543948312151555,0.07385718828038305,False
SC402,0.1,0.48418408792388146,0.28022480110883696,0.17015080624471682,0.05537396485327927,False
SC403,0.35,0.673418782166985,0.3776115429783534,0.35757730330060916,0.05778251084821446,True
SC403,0.4,0.670791287632727,0.3437766777795222,0.326902152028992,0.060995189631756305,False
SC403,0.425,0.6702916103850851,0.33873643463413045,0.3218956022665182,0.06413498923175139,False
SC403,0.375,0.6696931748876659,0.34561432946591225,0.326815916280708,0.05626891708980908,False
SC403,0.325,0.6671747834356474,0.37389215166594414,0.35039031305924434,0.055875645063664416,False
SC403,0.45,0.665239444598119,0.31973102146105303,0.3037755113747489,0.06532119525906094,False
SC403,0.3,0.6612733771524175,0.3731199782770195,0.34683721934345224,0.055208790273137215,False
SC403,0.475,0.660548927563384,0.29886846461980177,0.28484127535426507,0.06278317975008844,False
SC403,0.275,0.6592146426702002,0.38545679173138075,0.3500256730165006,0.0654854148409963,False
SC403,0.5,0.6577128141407173,0.2853760180033598,0.27593079655813835,0.062366539666554775,False
SC403,0.25,0.650342843896044,0.384198324944304,0.3308851119842505,0.06472328101916748,False
SC403,0.225,0.6380878164038339,0.3886520999062413,0.31631728282458876,0.07963330286225484,False
SC403,0.2,0.6137023728246683,0.37528847276002986,0.29553361161034386,0.07822390335305511,False
SC403,0.175,0.600172672651167,0.3705324152584604,0.28918365342181696,0.08002594232775068,False
SC403,0.15,0.5793017668018546,0.3659133855998955,0.2825262661241442,0.07902437166195468,False
SC403,0.125,0.547499391793053,0.34280542974806333,0.25523512799267006,0.07659585986955318,False
SC403,0.1,0.5176611226425654,0.31670428020188934,0.24190558577616486,0.08043339034230977,False
SC404,0.35,0.6540992685577964,0.3234847757285175,0.2891096398884827,0.0985299274010724,True
SC404,0.325,0.6520392257474171,0.3423369028482081,0.3026981349075534,0.09822472603292422,False
SC404,0.3,0.6499252644057201,0.3507102849650454,0.3098400500786381,0.09652812420919153,False
SC404,0.375,0.6494932550935852,0.28599694396403946,0.2550605499433353,0.09735960951119697,False
SC404,0.4,0.6478348932794549,0.2678730565643619,0.24476194545325075,0.09081132991455465,False
SC404,0.425,0.6441553568751844,0.24048534539628688,0.22101674636247043,0.08371353901891092,False
SC404,0.45,0.6411482517951349,0.21805085388994305,0.20702327273299895,0.07679545859089044,False
SC404,0.5,0.6392178316754887,0.19064085905356606,0.19064085905356606,0.07423679500921344,False
