test_subject,strategy,selected_transition_weight,training_time_sec,inner_selection_time_sec,accuracy,balanced_accuracy,macro_f1,Wake_precision,Wake_recall,Wake_f1,N1_precision,N1_recall,N1_f1,N2_precision,N2_recall,N2_f1,N3_precision,N3_recall,N3_f1,REM_precision,REM_recall,REM_f1
SC400,baseline_argmax,0.5,1.9813607999822125,8.608884099987336,0.6980651731160896,0.6288516399492895,0.6168009488453033,0.4722222222222222,0.7874659400544959,0.5903983656792645,0.2876712328767123,0.1794871794871795,0.22105263157894736,0.9287054409005628,0.7945425361155698,0.856401384083045,0.8695652173913043,0.5415860735009671,0.6674612634088201,0.6745283018867925,0.8411764705882353,0.7486910994764397
SC400,aba_smoothing,0.5,1.9813607999822125,8.608884099987336,0.6934826883910387,0.6239286965357252,0.6113687898955565,0.4728171334431631,0.782016348773842,0.5893223819301848,0.2857142857142857,0.17094017094017094,0.21390374331550802,0.9144981412639405,0.7897271268057785,0.8475452196382429,0.860248447204969,0.5357833655705996,0.6603098927294399,0.6697892271662763,0.8411764705882353,0.7457627118644068
SC400,nested_viterbi,0.5,1.9813607999822125,8.608884099987336,0.7179226069246436,0.6330728559600561,0.6140097821946158,0.5043782837127846,0.784741144414169,0.6140724946695096,0.34375,0.09401709401709402,0.1476510067114094,0.9013840830449827,0.8362760834670947,0.8676103247293921,0.8871473354231975,0.5473887814313346,0.6770334928229665,0.6616379310344828,0.9029411764705882,0.763681592039801
SC401,baseline_argmax,0.25,2.085696399997687,8.581073299981654,0.7676148796498906,0.6740170532256836,0.6343394295069137,0.7039106145251397,0.4,0.5101214574898786,0.7027027027027027,0.25870646766169153,0.3781818181818182,0.9457092819614711,0.88379705400982,0.9137055837563451,0.5053475935828877,0.9402985074626866,0.6573913043478261,0.5949612403100775,0.8872832369942196,0.7122969837587007
SC401,aba_smoothing,0.25,2.085696399997687,8.581073299981654,0.762363238512035,0.6686138528486132,0.6265010591158822,0.7167630057803468,0.39365079365079364,0.5081967213114754,0.6805555555555556,0.24378109452736318,0.358974358974359,0.9436619718309859,0.8772504091653028,0.909245122985581,0.4883116883116883,0.9353233830845771,0.6416382252559727,0.5953757225433526,0.8930635838150289,0.7144508670520231
SC401,nested_viterbi,0.25,2.085696399997687,8.581073299981654,0.7724288840262582,0.6693240602175083,0.6281234228951421,0.7865853658536586,0.4095238095238095,0.5386221294363257,0.6349206349206349,0.19900497512437812,0.30303030303030304,0.94067067927773,0.8952536824877251,0.9174004192872117,0.5164835164835165,0.9353233830845771,0.6654867256637168,0.591337099811676,0.9075144508670521,0.7160775370581528
SC402,baseline_argmax,0.75,4.156642499990994,18.120708400005242,0.8387096774193549,0.8026559361291234,0.7900251957762384,0.8681318681318682,0.626984126984127,0.728110599078341,0.6194690265486725,0.7446808510638298,0.6763285024154589,0.936046511627907,0.8862385321100917,0.9104618284637135,0.8316831683168316,0.8842105263157894,0.8571428571428571,0.7029702970297029,0.8711656441717791,0.7780821917808219
SC402,aba_smoothing,0.75,4.156642499990994,18.120708400005242,0.8455522971652004,0.797766064709685,0.7972980433559367,0.898876404494382,0.6349206349206349,0.7441860465116279,0.6636363636363637,0.776595744680851,0.7156862745098039,0.912639405204461,0.9009174311926605,0.9067405355493998,0.8390804597701149,0.7684210526315789,0.8021978021978022,0.7437185929648241,0.9079754601226994,0.8176795580110497
SC402,nested_viterbi,0.75,4.156642499990994,18.120708400005242,0.8563049853372434,0.7843253998892644,0.8022235902537211,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.8709677419354839,0.574468085106383,0.6923076923076923,0.9046762589928058,0.9229357798165138,0.9137148047229791,0.8271604938271605,0.7052631578947368,0.7613636363636364,0.7222222222222222,0.9570552147239264,0.8232189973614775
SC403,baseline_argmax,0.5,2.4626671000150964,17.722902400011662,0.7252631578947368,0.6517286190095831,0.634521848659193,0.8181818181818182,0.6521739130434783,0.7258064516129032,0.1523809523809524,0.5245901639344263,0.23616236162361623,0.9262295081967213,0.931958762886598,0.9290853031860226,0.8103448275862069,0.8245614035087719,0.8173913043478261,0.8095238095238095,0.3253588516746411,0.4641638225255973
