test_subject,strategy,selected_transition_weight,selected_n1_emission_boost,training_time_sec,inner_selection_time_sec,accuracy,balanced_accuracy,macro_f1,Wake_precision,Wake_recall,Wake_f1,N1_precision,N1_recall,N1_f1,N2_precision,N2_recall,N2_f1,N3_precision,N3_recall,N3_f1,REM_precision,REM_recall,REM_f1
SC400,baseline_argmax,0.5,1.1,3.5491990000009537,12.46197070000926,0.6980651731160896,0.6288516399492895,0.6168009488453033,0.4722222222222222,0.7874659400544959,0.5903983656792645,0.2876712328767123,0.1794871794871795,0.22105263157894736,0.9287054409005628,0.7945425361155698,0.856401384083045,0.8695652173913043,0.5415860735009671,0.6674612634088201,0.6745283018867925,0.8411764705882353,0.7486910994764397
SC400,standard_viterbi,0.5,1.1,3.5491990000009537,12.46197070000926,0.7179226069246436,0.6330728559600561,0.6140097821946158,0.5043782837127846,0.784741144414169,0.6140724946695096,0.34375,0.09401709401709402,0.1476510067114094,0.9013840830449827,0.8362760834670947,0.8676103247293921,0.8871473354231975,0.5473887814313346,0.6770334928229665,0.6616379310344828,0.9029411764705882,0.763681592039801
SC400,n1_preserving_viterbi,0.5,1.1,3.5491990000009537,12.46197070000926,0.714867617107943,0.6427659583275283,0.6311302664429665,0.5008912655971479,0.7656675749318801,0.6056034482758621,0.2948717948717949,0.19658119658119658,0.2358974358974359,0.9017241379310345,0.8394863563402889,0.8694929343308395,0.8871473354231975,0.5473887814313346,0.6770334928229665,0.6901408450704225,0.8647058823529412,0.7676240208877284
SC401,baseline_argmax,0.25,1.75,2.052775999996811,18.80747669999255,0.7676148796498906,0.6740170532256836,0.6343394295069137,0.7039106145251397,0.4,0.5101214574898786,0.7027027027027027,0.25870646766169153,0.3781818181818182,0.9457092819614711,0.88379705400982,0.9137055837563451,0.5053475935828877,0.9402985074626866,0.6573913043478261,0.5949612403100775,0.8872832369942196,0.7122969837587007
SC401,standard_viterbi,0.25,1.75,2.052775999996811,18.80747669999255,0.7724288840262582,0.6693240602175083,0.6281234228951421,0.7865853658536586,0.4095238095238095,0.5386221294363257,0.6349206349206349,0.19900497512437812,0.30303030303030304,0.94067067927773,0.8952536824877251,0.9174004192872117,0.5164835164835165,0.9353233830845771,0.6654867256637168,0.591337099811676,0.9075144508670521,0.7160775370581528
SC401,n1_preserving_viterbi,0.25,1.75,2.052775999996811,18.80747669999255,0.7794310722100657,0.69239323619872,0.6557231260657683,0.8367346938775511,0.3904761904761905,0.5324675324675324,0.576271186440678,0.3383084577114428,0.4263322884012539,0.945264986967854,0.8903436988543372,0.9169827222924568,0.5136612021857924,0.9353233830845771,0.6631393298059964,0.6242544731610338,0.9075144508670521,0.7396937573616019
SC402,baseline_argmax,0.75,1.75,2.5258014000137337,13.756538700021338,0.8387096774193549,0.8026559361291234,0.7900251957762384,0.8681318681318682,0.626984126984127,0.728110599078341,0.6194690265486725,0.7446808510638298,0.6763285024154589,0.936046511627907,0.8862385321100917,0.9104618284637135,0.8316831683168316,0.8842105263157894,0.8571428571428571,0.7029702970297029,0.8711656441717791,0.7780821917808219
SC402,standard_viterbi,0.75,1.75,2.5258014000137337,13.756538700021338,0.8563049853372434,0.7843253998892644,0.8022235902537211,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.8709677419354839,0.574468085106383,0.6923076923076923,0.9046762589928058,0.9229357798165138,0.9137148047229791,0.8271604938271605,0.7052631578947368,0.7613636363636364,0.7222222222222222,0.9570552147239264,0.8232189973614775
SC402,n1_preserving_viterbi,0.75,1.75,2.5258014000137337,13.756538700021338,0.8435972629521017,0.7815180448147488,0.7840323583126296,0.9642857142857143,0.6428571428571429,0.7714285714285715,0.528,0.7021276595744681,0.6027397260273972,0.9114391143911439,0.9064220183486239,0.9089236430542779,0.8271604938271605,0.7052631578947368,0.7613636363636364,0.8115183246073299,0.950920245398773,0.8757062146892656
SC403,baseline_argmax,0.75,1.2,4.135150499991141,15.312384599994402,0.7252631578947368,0.6517286190095831,0.634521848659193,0.8181818181818182,0.6521739130434783,0.7258064516129032,0.1523809523809524,0.5245901639344263,0.23616236162361623,0.9262295081967213,0.931958762886598,0.9290853031860226,0.8103448275862069,0.8245614035087719,0.8173913043478261,0.8095238095238095,0.3253588516746411,0.4641638225255973
SC403,standard_viterbi,0.75,1.2,4.135150499991141,15.312384599994402,0.72,0.6266284756902916,0.6118841837388944,0.9514563106796117,0.7101449275362319,0.8132780082987552,0.14473684210526316,0.5409836065573771,0.22837370242214533,0.896551724137931,0.9649484536082474,0.929493545183714,0.7692307692307693,0.7017543859649122,0.7339449541284404,1.0,0.215311004784689,0.3543307086614173
SC403,n1_preserving_viterbi,0.75,1.2,4.135150499991141,15.312384599994402,0.7094736842105264,0.6192895934616973,0.6030706425073398,0.9509803921568627,0.7028985507246377,0.8083333333333333,0.13807531380753138,0.5409836065573771,0.22,0.8972868217054264,0.954639175257732,0.9250749250749251,0.7692307692307693,0.7017543859649122,0.7339449541284404,1.0,0.19617224880382775,0.328
SC404,baseline_argmax,0.75,1.35,2.2493320000066888,13.281389399984619,0.7210056772100568,0.6734071353888803,0.6656165266747949,0.6379928315412187,0.898989898989899,0.7463312368972747,0.3298429319371728,0.3795180722891566,0.35294117647058826,0.9608610567514677,0.7919354838709678,0.8682581786030061,0.8780487804878049,0.6792452830188679,0.7659574468085106,0.5734597156398105,0.6173469387755102,0.5945945945945946
SC404,standard_viterbi,0.75,1.35,2.2493320000066888,13.281389399984619,0.7437145174371452,0.6966240920903218,0.6751659130775758,0.6507936507936508,0.8282828282828283,0.7288888888888889,0.37623762376237624,0.2289156626506024,0.2846441947565543,0.9377289377289377,0.8258064516129032,0.8782161234991424,0.8541666666666666,0.7735849056603774,0.8118811881188119,0.5664335664335665,0.826530612244898,0.6721991701244814
SC404,n1_preserving_viterbi,0.75,1.35,2.2493320000066888,13.281389399984619,0.7696674776966748,0.7475296498050518,0.7336198414053332,0.7192982456140351,0.8282828282828283,0.7699530516431925,0.4421052631578947,0.5060240963855421,0.47191011235955055,0.939622641509434,0.8032258064516129,0.8660869565217392,0.8541666666666666,0.7735849056603774,0.8118811881188119,0.6835443037974683,0.826530612244898,0.7482678983833718
SC405,baseline_argmax,0.25,1.2,2.5375622999854386,14.243008100020234,0.8507462686567164,0.7399125740132723,0.71596210525916,0.8739130434782608,0.9757281553398058,0.9220183486238532,0.4,0.045454545454545456,0.08163265306122448,0.8979591836734694,0.8110599078341014,0.8523002421307506,0.7962962962962963,0.9555555555555556,0.8686868686868687,0.8051948051948052,0.9117647058823529,0.8551724137931035
SC405,standard_viterbi,0.25,1.2,2.5375622999854386,14.243008100020234,0.8611940298507462,0.7535164097495299,0.733553835833787,0.8898678414096917,0.9805825242718447,0.9330254041570438,0.75,0.06818181818181818,0.125,0.8910891089108911,0.8294930875576036,0.8591885441527446,0.8,0.9481481481481482,0.8677966101694915,0.8311688311688312,0.9411764705882353,0.8827586206896552
