outer_test_subject,transition_weight,n1_emission_boost,mean_macro_f1,mean_balanced_accuracy,mean_n1_f1,mean_min_class_f1,std_macro_f1,selected
SC400,0.5,1.1,0.6759503301730548,0.6963118898898697,0.31179537291865733,0.31179537291865733,0.09208274087489655,True
SC400,0.5,1.35,0.6741385864209327,0.6965447439797968,0.3189081767283436,0.3189081767283436,0.08934756691544038,False
SC400,0.5,1.2,0.673819243653249,0.6968387134980285,0.29549610684901756,0.29549610684901756,0.08966891773915922,False
SC400,0.25,1.2,0.6729997534952574,0.6958618604435369,0.3263894849360624,0.3263894849360624,0.08771537570464842,False
SC400,0.25,1.1,0.6719210810625944,0.694825336906829,0.30783537279326245,0.30783537279326245,0.08819990521331166,False
SC400,0.25,1.35,0.6714478553747545,0.6948806922532119,0.3363094899808405,0.3363094899808405,0.09060219390949084,False
SC400,0.5,1.0,0.6711395874252013,0.6908155787571725,0.28526180584951566,0.28526180584951566,0.08978765633677376,False
SC400,1.0,1.2,0.6667870029043328,0.6824752738348017,0.28260694844730905,0.28260694844730905,0.08486298695913067,False
SC400,0.25,1.0,0.6658946092504988,0.686682948539844,0.28581848299733587,0.28581848299733587,0.08203857855956062,False
SC400,0.75,1.1,0.665363003183942,0.6810270410717211,0.28792088494033197,0.28792088494033197,0.09022692355155283,False
SC400,0.75,1.5,0.664945346809334,0.6840038882479623,0.3199934793028119,0.31421914592569383,0.09984228272003326,False
SC400,0.75,1.2,0.6649223040825499,0.6829126721515909,0.30262581181177284,0.30262581181177284,0.09248707327170683,False
SC400,1.0,1.5,0.6632449270183451,0.6827616178565379,0.29619236061440063,0.28990064408734306,0.09193834710055548,False
SC400,1.0,1.0,0.6600347460960264,0.676180605058154,0.23981231769521782,0.23981231769521782,0.08314640565973473,False
SC400,1.0,1.1,0.6593924030846805,0.6770347062021069,0.2568152193091314,0.2568152193091314,0.08413181899455324,False
SC400,0.75,1.35,0.6591607906357961,0.6799840100946156,0.2947799865771993,0.28848827005014166,0.09680212051197491,False
SC400,1.0,1.35,0.6586018455187141,0.678947067187295,0.2777950911871329,0.2713720450414941,0.08909138607181383,False
SC400,0.75,1.0,0.6579478935764155,0.6758793975767328,0.25408403301872884,0.25408403301872884,0.08903251756771394,False
SC400,0.5,1.5,0.6574483126040311,0.6788193800213295,0.31443818670710943,0.30601327828220104,0.0980746129314596,False
SC400,0.25,1.5,0.6571322352227208,0.6806795480500193,0.3387416994368039,0.3387416994368039,0.09017153861534682,False
SC400,1.0,1.75,0.6482894029034296,0.6663753212456547,0.3195381915451286,0.2824029130305397,0.09909400359681841,False
SC400,0.25,1.75,0.6460421937949479,0.6744959068355957,0.34670290506648394,0.3142014934346375,0.10332535768013842,False
SC400,0.5,1.75,0.6444835539759002,0.6707002287370252,0.3206686604954066,0.28558299498720585,0.09911898812875113,False
SC400,0.75,1.75,0.6346522261970269,0.6568367807211363,0.3146599990449181,0.2760177013947876,0.10595136957465777,False
SC401,0.25,1.75,0.7176716562825181,0.7184175038854461,0.3781142326734236,0.3781142326734236,0.04641395799028116,True
SC401,0.25,1.5,0.7160547843079375,0.7173617887658379,0.34444009012800897,0.34444009012800897,0.026086509313135702,False
SC401,0.5,1.75,0.7145574256809218,0.7164850396525299,0.3279514947846631,0.3279514947846631,0.030353969633073727,False
SC401,0.25,1.2,0.711480258716103,0.714321377299308,0.30468323500093847,0.30468323500093847,0.018299772573438212,False
SC401,0.25,1.35,0.7110874049001794,0.7145507032418458,0.3066524730610242,0.3066524730610242,0.01876011904425941,False
SC401,0.5,1.5,0.7107650225194577,0.7157284037364344,0.28230482774363896,0.28230482774363896,0.016802740003571858,False
SC401,0.75,1.5,0.7073591546897873,0.7072643426790493,0.28874013016144073,0.28874013016144073,0.02617430467385321,False
SC401,0.75,1.75,0.7069408388443132,0.7076640351809698,0.2981833872578761,0.2981833872578761,0.027022308055922144,False
SC401,0.5,1.35,0.706451944504847,0.7128938205298795,0.2645208658355188,0.2645208658355188,0.015992740383742564,False
SC401,1.0,1.75,0.7014170282419572,0.7021787982294576,0.2709664992206623,0.2709664992206623,0.02903164020568237,False
SC401,0.25,1.1,0.6965632865459173,0.7071813647392305,0.2283663881860119,0.2283663881860119,0.016537106783044937,False
SC401,0.5,1.2,0.6958369513214061,0.7067289385606135,0.21236443465152827,0.21236443465152827,0.014911793156695899,False
SC401,0.75,1.35,0.6942214219792001,0.7000203385494245,0.2241844940365243,0.2241844940365243,0.024843776147424394,False
SC401,0.25,1.0,0.6920830612931722,0.7031016439218596,0.2072879035269482,0.2072879035269482,0.01846500389227431,False
SC401,1.0,1.5,0.6916682918076178,0.6970258540663596,0.22606391456333325,0.22606391456333325,0.0238453011022566,False
SC401,0.5,1.1,0.6915622946044004,0.7047823522878389,0.1866014825762599,0.1866014825762599,0.025885487753184548,False
SC401,1.0,1.35,0.6902499703922234,0.6965767012428491,0.21510084901663085,0.21510084901663085,0.02662570850510477,False
SC401,0.5,1.0,0.6865767386555699,0.7009871881333939,0.16447738842187143,0.16447738842187143,0.02631425207205516,False
SC401,0.75,1.2,0.685247560081305,0.694998931325145,0.1868891208748762,0.1868891208748762,0.020268100176064927,False
SC401,1.0,1.2,0.6818802054019064,0.6905749635428394,0.18126704213660733,0.18126704213660733,0.035760020688411456,False
SC401,1.0,1.1,0.6791481834553423,0.6899088357234489,0.17029324593109232,0.17029324593109232,0.039734207199773455,False
SC401,0.75,1.1,0.677942718311361,0.6889019593817023,0.1565762268174824,0.1565762268174824,0.025381281984764137,False
