outer_test_subject,top_k,transition_weight,n1_emission_boost,mean_macro_f1,mean_n1_f1,mean_min_class_f1,mean_balanced_accuracy,std_macro_f1,selected
SC400,10,0.25,1.2,0.680345283925514,0.3424892767803619,0.3424892767803619,0.7010731715785757,0.08134912049484064,True
SC400,0,0.5,1.1,0.6759503301730548,0.31179537291865733,0.31179537291865733,0.6963118898898697,0.09208274087489655,False
SC400,10,0.25,1.1,0.6757134856240121,0.3060288975516295,0.3060288975516295,0.6984093992927083,0.08551327774889449,False
SC400,10,0.25,1.35,0.6754605130474507,0.35642288465758615,0.35642288465758615,0.6979666752134123,0.08302086151085158,False
SC400,0,0.5,1.35,0.6741385864209327,0.3189081767283436,0.3189081767283436,0.6965447439797968,0.08934756691544038,False
SC400,0,0.5,1.2,0.673819243653249,0.29549610684901756,0.29549610684901756,0.6968387134980285,0.08966891773915922,False
SC400,10,0.5,1.35,0.6730650032523122,0.3366483957134525,0.3356437760244682,0.6930439567575538,0.0872606981453368,False
SC400,0,0.25,1.2,0.6729997534952574,0.3263894849360624,0.3263894849360624,0.6958618604435369,0.08771537570464842,False
SC400,10,0.5,1.2,0.6723777935957733,0.3084754133820072,0.3084754133820072,0.6921667852525405,0.09323071400856901,False
SC400,10,0.25,1.0,0.6721556866854856,0.29321721777969356,0.29321721777969356,0.6932319386203236,0.07994351037368021,False
SC400,0,0.25,1.1,0.6719210810625944,0.30783537279326245,0.30783537279326245,0.694825336906829,0.08819990521331166,False
SC400,5,0.5,1.35,0.6717515607991726,0.32992998885771463,0.317555065435211,0.6941747427140925,0.09536489411012053,False
SC400,0,0.25,1.35,0.6714478553747545,0.3363094899808405,0.3363094899808405,0.6948806922532119,0.09060219390949084,False
SC400,5,0.25,1.35,0.6712028012752768,0.36190661463347773,0.36190661463347773,0.6949795677625838,0.08519911984227233,False
SC400,15,0.25,1.5,0.6711616914398895,0.37301612240599047,0.36377970873940024,0.6981854001662426,0.09142477404466857,False
SC400,0,0.5,1.0,0.6711395874252013,0.28526180584951566,0.28526180584951566,0.6908155787571725,0.08978765633677376,False
SC400,15,0.5,1.2,0.6708855696425109,0.3113232175840448,0.3113232175840448,0.6893764000685946,0.09464353547525785,False
SC400,5,0.5,1.2,0.6708538073554001,0.3027980484293796,0.3027980484293796,0.6924073698247397,0.08968124754292078,False
SC400,15,0.5,1.1,0.6703958095963898,0.3082541824698254,0.3082541824698254,0.6887977901205729,0.09278297550550986,False
SC400,5,0.5,1.1,0.6703461140796639,0.3094000191173093,0.3094000191173093,0.6909523224789632,0.0889996365093478,False
SC400,20,0.25,1.35,0.6702362827793941,0.355430014569912,0.35450132468599826,0.6934512870893857,0.0912835074043077,False
SC400,20,0.25,1.1,0.6701247830518056,0.31612419605096165,0.31612419605096165,0.6913084995920903,0.08266736023985988,False
