outer_test_subject,rank,feature
SC400,1,dyn_delta1_beta
SC400,2,dyn_delta2_beta
SC400,3,dyn_acceleration_beta
SC400,4,dyn_delta1_alpha_theta_ratio
SC400,5,dyn_acceleration_alpha_theta_ratio
SC400,6,dyn_delta1_alpha
SC400,7,dyn_ratio_current_prev1_beta
SC400,8,dyn_delta2_alpha
SC400,9,dyn_delta1_sigma
SC400,10,dyn_acceleration_alpha
SC401,1,dyn_delta1_beta
SC401,2,dyn_acceleration_beta
SC401,3,dyn_delta2_beta
SC401,4,dyn_delta1_alpha
SC401,5,dyn_delta2_alpha
SC401,6,dyn_acceleration_alpha
SC401,7,dyn_delta1_alpha_theta_ratio
SC401,8,dyn_acceleration_alpha_theta_ratio
SC401,9,dyn_acceleration_sef90
SC401,10,dyn_delta2_alpha_theta_ratio
SC403,1,dyn_delta1_beta
SC403,2,dyn_delta2_beta
SC403,3,dyn_acceleration_beta
SC403,4,dyn_delta1_alpha_theta_ratio
SC403,5,dyn_delta1_alpha
SC404,1,dyn_delta1_beta
SC404,2,dyn_acceleration_beta
SC404,3,dyn_delta2_beta
SC404,4,dyn_delta1_alpha
SC404,5,dyn_delta1_alpha_theta_ratio
SC405,1,dyn_delta1_beta
SC405,2,dyn_delta2_beta
SC405,3,dyn_acceleration_beta
SC405,4,dyn_delta1_alpha_theta_ratio
SC405,5,dyn_delta1_alpha
SC405,6,dyn_delta2_alpha
SC405,7,dyn_ratio_current_prev1_beta
SC405,8,dyn_delta2_alpha_theta_ratio
SC405,9,dyn_acceleration_alpha_theta_ratio
SC405,10,dyn_delta1_sigma
