transition_weight,n1_emission_boost,mean_subject_macro_f1,std_subject_macro_f1,mean_subject_n1_f1,mean_min_class_f1,mean_balanced_accuracy
0.25,1.2,0.6904772899295354,0.06239156859675717,0.35487087910528636,0.35487087910528636,0.7064763310183988
0.75,1.35,0.6896420089202099,0.08383349852246112,0.3635835028617956,0.357823789503829,0.704804875806964
0.75,1.5,0.6894180127701928,0.08285475270251608,0.3581040537404762,0.34570326008968255,0.7054925262006698
0.5,1.35,0.6887451852471886,0.06871487563974492,0.3387691364886072,0.3387691364886072,0.7072079971485529
0.25,1.35,0.6882540038104104,0.06040967224653618,0.3641118858616718,0.3641118858616718,0.7064613815288111
0.5,1.2,0.687947465999822,0.07059591900231903,0.34529833094959744,0.34529833094959744,0.7052147820300761
0.25,1.1,0.6867949808875858,0.06328414086284766,0.33826481158887317,0.33826481158887317,0.7020751413343836
0.75,1.2,0.6863059827166663,0.07382054158808707,0.3270378698129139,0.3270378698129139,0.701374917982864
0.5,1.1,0.6862237975132707,0.06877876832589651,0.33266102593297836,0.33266102593297836,0.7024615825091779
0.25,1.0,0.686003382978645,0.06683188421014875,0.3292411243377576,0.3292411243377576,0.7004857220996309
0.5,1.5,0.6847456933040883,0.07524604216787618,0.3640492117264516,0.3431571929471089,0.7034018456574112
0.25,1.5,0.6829996320961279,0.0661151500979704,0.3666561440078107,0.3543720924755282,0.7038635372056267
0.75,1.75,0.6825400702392029,0.08499049198251461,0.3647379859031546,0.3306680043193609,0.7019183598563848
0.75,1.1,0.6802988754548002,0.0689672509035611,0.29693408274454536,0.29693408274454536,0.697220375161168
1.0,1.5,0.6802557478484014,0.08090303798551561,0.3508138069352249,0.3450540935772583,0.6922533384447799
1.0,1.75,0.6775277010029487,0.08339970049038195,0.35635592411278033,0.32339923861372194,0.6934060887371144
0.5,1.0,0.6774053856751977,0.06679554757097629,0.2858331386872918,0.2858331386872918,0.6969284983520847
0.25,1.75,0.6748913896678448,0.0758318923802459,0.3746135903208301,0.34933358522982844,0.6974812162869624
1.0,1.35,0.6729297787897351,0.07974893581295069,0.32136603548732484,0.3156063221293582,0.6871690173093437
0.75,1.0,0.6718927801521639,0.06977203749581852,0.26791249199393724,0.26791249199393724,0.6904569235644274
0.5,1.75,0.6714676364295601,0.08463663791414942,0.3618222171173949,0.3269582715391636,0.6930260769155061
1.0,1.2,0.6706510573231482,0.06978633855354731,0.289359790272492,0.289359790272492,0.684093934717625
1.0,1.1,0.6626500333174558,0.07077049761168261,0.26010720731241843,0.26010720731241843,0.6779703441531729
1.0,1.0,0.6619902376431962,0.07097058790704748,0.2351378738945573,0.2351378738945573,0.676293535236629
